DOMAIN,LOADING_TYPE_DESCRIPTION,EXPLANATION,DETAILS
sport.es,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),gtm fires Pixel request directly on https://www.sport.es/es/suscriptores/
plex.tv,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
samsungknox.com,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
crazyegg.com,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
privacymanager.io,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
midilibre.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
ufl.edu,['PIXEL_GTM'],Loads Pixel on homepage,takes time
pcmag.com,['PIXEL_CORE'],Loads Pixel on homepage,takes time
ultradns.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
klarna.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
dhs.gov,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ubc.ca,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
khanacademy.org,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
appier.net,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
bt.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,only fires up reporting process of Pixels from a 3rd pt script
medlineplus.gov,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
sportradar.com,['PIXEL_GTM'],Loads Pixel on homepage,
archives.gov,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
itu.int,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
urbanairship.com,['PIXEL_GTM'],Loads Pixel on homepage,
altervista.org,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
zara.com,['PIXEL_GTM'],Pixel loads after second action,Pixel loads on interaction with region choice
hatena.ne.jp,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ably.io,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
uhc.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,loads on login sub-page
brightspace.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
walkme.com,['PIXEL_GTM'],Loads Pixel on homepage,
cookiebot.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
starbucks.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
kochava.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
insales.ru,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
malwarebytes.com,['PIXEL_GTM'],Pixel loads after second action,buy now
arcticwolf.net,['PIXEL_GTM'],Loads Pixel on homepage,insecure connection warning on the browser
zeit.de,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
kpmg.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,Could not fire pixel/ Has it configured in adobe assets js
digitaltrends.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
billboard.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
consumerreports.org,['PIXEL_GTM'],Pixel loads after second action,become a member
mheducation.com,['PIXEL_GTM'],Pixel loads after second action,
ex.co,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
infomaniak.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
nokia.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ask.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ovhcloud.com,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
outlookindia.com,['PIXEL_CORE'],Pixel loads after second action,subscription sub-page
axis.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
hihonor.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),buy product sub-page after region selection
pitt.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),donation sub-page
splunkcloud.com,['PIXEL_GTM'],Loads Pixel on homepage,insecure connection warning on the browser
apptentive.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
qnap.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
smugmug.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
celtra.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
seattletimes.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
mcgill.ca,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
over-blog.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
home.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
bankrate.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
sportradarserving.com,['PIXEL_GTM'],Loads Pixel on homepage,
vanderbilt.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),admissions sub-page
nazwa.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
justgiving.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
lnk.to,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
spreaker.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
depositphotos.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
pagesix.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
clickpetroleoegas.com.br,['PIXEL_CORE'],Loads Pixel on homepage,
blackberry.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),
my.games,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
fsu.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),again on admissions subpage 
interactgo.com,['PIXEL_GTM'],Loads Pixel on homepage,
pdffiller.com,['PIXEL_GTM'],Does not load pixel,
knowbe4.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
bell-labs.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
hostpoint.ch,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
coxautoinc.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
bustle.com,['PIXEL_CORE'],Does not fire although it exists in the HTML,
premierleague.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
zoominfo.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
manchestereveningnews.co.uk,['PIXEL_GTM'],Pixel loads after second action,advertise with us
mediarithmics.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
realme.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
goethe.de,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
razerzone.com,['PIXEL_GTM'],Loads Pixel on homepage,insecure connection warning on the browser
fox.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,Could not fire pixel/ Has it configured in tags.tiqcdn js
boeing.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),About-bca sub-page
blueconic.net,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
nd.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),research sub-page
sky.it,['PIXEL_IN_OTHER_TP'],Pixel loads after second action,
warthunder.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
mailerlite.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
reference.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
kandji.io,['PIXEL_GTM'],Loads Pixel on homepage,
nyt.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
gazeta.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
dji.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
elperiodico.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
siteground.biz,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
uky.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),again on admissions subpage 
blackboard.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,insecure connection warning on the browser
groww.in,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
incognia.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
wetteronline.de,['PIXEL_GTM'],Loads Pixel on Accept Cookies,has version 1 of pixel
capgemini.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
teachable.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
motherjones.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ucsc.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),again on admissions subpage 
thetrainline.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
apptimize.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
miami.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),again on admissions subpage 
liverpoolecho.co.uk,['PIXEL_GTM'],Pixel loads after second action,advertise with us
amazon.jobs,['PIXEL_IN_OTHER_TP'],Pixel loads after second action,only fires up on https://www.amazon.jobs/en/landing_pages/praca-v-logistike
yourtango.com,['PIXEL_GTM'],Pixel loads after second action,Subscribe to newsletter + scroll (?)
menlosecurity.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
powerreviews.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
exponea.com,['PIXEL_GTM'],Loads Pixel on homepage,takes time
athemes.com,['PIXEL_IN_OTHER_TP'],Does not fire although it exists in the HTML,
warwick.ac.uk,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
dome9.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
bms.com,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
birminghammail.co.uk,['PIXEL_GTM'],Pixel loads after second action,advertise with us
krone.at,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
essentiallysports.com,['PIXEL_CORE'],Does not fire although it exists in the HTML,
voicemod.net,['PIXEL_GTM'],Does not load pixel,
infomaniak.ch,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
larazon.es,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
klook.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
iherb.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
swagbucks.com,['PIXEL_GTM'],Requires login,
travelaudience.com,['PIXEL_GTM'],Does not fire although it exists in the HTML,
skynet.be,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
swiggy.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
musescore.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),start free trial
thisisdax.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
thomann.de,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
hs.fi,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
haberturk.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
trenitalia.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
bricklink.com,['PIXEL_CORE'],Loads only library,
lsu.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
wetter.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
buienradar.nl,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
cricketwireless.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
webnode.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
honor.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),buy product sub-page after region selection
toyokeizai.net,['PIXEL_GTM'],Pixel loads after second action,random article click
lifehack.org,['PIXEL_GTM'],Pixel loads after second action,start now click
lavozdegalicia.es,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
springeropen.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
articulate.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
uva.nl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
unm.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
controlup.com,['PIXEL_CORE'],Loads Pixel on homepage,
rug.nl,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
realclearpolitics.com,['PIXEL_CORE'],Pixel loads after second action,Submissions sub-page
kleinezeitung.at,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
akc.org,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
crystals.ru,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
optum.com,['PIXEL_IN_OTHER_TP'],Could not browse,
telekom.hu,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
vfsglobal.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
entergy.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
catawiki.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
heraldo.es,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
turkcell.com.tr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
lepoint.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
sport1.de,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
nrich.ai,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
letelegramme.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
ledauphine.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
muni.cz,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
anota.ai,['PIXEL_GTM'],Loads Pixel on homepage,
megogo.net,['PIXEL_CORE'],Loads Pixel on homepage,LIGHTWEIGHT
swissinfo.ch,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
contentful.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),signup sub-page
is.fi,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
twitcasting.tv,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
yamaha.com,['PIXEL_GTM'],Pixel loads after second action,support/contact after regional decision
walesonline.co.uk,['PIXEL_GTM'],Pixel loads after second action,advertise with us
leprogres.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
inverse.com,['PIXEL_CORE'],Does not load on visitation/ Has custom script configuring Pixel,only fires up reporting process of Pixels from a 3rd pt script
expressvpn.com,['PIXEL_GTM'],Pixel loads after second action,start trial
mbl.is,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
cra.cz,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
getsurrey.co.uk,['PIXEL_GTM'],Pixel loads after second action,advertise with us
dlink.com,['PIXEL_GTM'],Pixel loads after second action,careers sub-page
mackolik.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
blesk.cz,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
bidtheatre.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
stradivarius.com,['PIXEL_GTM'],Pixel loads after second action,after selecting region
natalie.mu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
nominaltechno.com,['PIXEL_GTM'],Loads Pixel on homepage,not secure connection warning
tutsplus.com,['PIXEL_CORE'],Does not fire although it exists in the HTML,
aktuality.sk,['PIXEL_GTM'],Pixel loads after second action,subscribe
cashstar.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ancestry.co.uk,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
inquirer.net,['PIXEL_CORE'],Loads Pixel on homepage,
bestsecret.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
ucf.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
elfsight.com,['PIXEL_CORE'],Loads Pixel on homepage,
hitta.se,['PIXEL_GTM'],Pixel loads after second action,create account
kto.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
theathletic.com,['PIXEL_GTM'],Does not load on visitation/ Has custom script configuring Pixel,only fires up reporting process of Pixels from a 3rd pt script
giallozafferano.it,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
businessinsider.com.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
fakt.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
barchart.com,['PIXEL_GTM'],Pixel related GTM activates under certain conditions,
15min.lt,['PIXEL_GTM'],Pixel related GTM activates under certain conditions,
libertatea.ro,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
usu.edu,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
leadsquared.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
vecernji.hr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,takes time
stirileprotv.ro,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
bling.com.br,['PIXEL_CORE'],Loads Pixel on homepage,
lrytas.lt,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
sojern.com,['PIXEL_CORE'],Loads only library,
oikotie.fi,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
whatfix.com,['PIXEL_GTM'],Loads Pixel on homepage,
letras.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
indosatooredoo.com,['PIXEL_GTM'],Could not browse,insecure connection warning on the browser
gala.fr,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
n1info.rs,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
lagged.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,https://lagged.com/js/v5/site_loadfirst.js?v=14
my-personaltrainer.it,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
cyberfolks.pl,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
labanquepostale.fr,['PIXEL_IN_OTHER_TP'],Loads Pixel on Accept Cookies,
trovaprezzi.it,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
politifact.com,['PIXEL_CORE'],Does not load pixel,has facebook sdk
icicidirect.com,['PIXEL_GTM'],GTM loading and firing only the lightweight Pixel (no config loaded),
voici.fr,['PIXEL_GTM'],Pixel related GTM activates under certain conditions,
hermes.com,['PIXEL_GTM'],Could not browse,IP blocked
captioncall.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
tv-asahi.co.jp,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
veikkaus.fi,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
sport.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
cinemagia.ro,['PIXEL_GTM'],Does not load pixel,
premierbet.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
jumpcloud.com,['PIXEL_GTM'],Loads Pixel on homepage,
wbs.legal,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
mamikos.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
sport.ro,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
singaporeair.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),https://www.singaporeair.com/en_UK/us/flying-withus/cabins/
umontreal.ca,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
webteb.com,['PIXEL_CORE'],Loads Pixel on homepage,LIGHTWEIGHT
zippia.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has Pixel configured in GTM,
stiripesurse.ro,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
personio.de,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
dialoguecorp.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
canalblog.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
ably.net,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
casa.it,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
klevu.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
mailjet.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
ebxcdn.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,insecure connection warning on the browser
zupee.com,['PIXEL_IN_OTHER_TP'],Does not load on visitation/ Has custom script configuring Pixel,3rd party script loads under conditions
bendingspoonsapps.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
betway.co.mz,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
profesia.sk,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
enikos.gr,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),contact
macaro-ni.jp,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
extra.cz,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
st-andrews.ac.uk,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
illumin.com,['PIXEL_CORE'],Loads Pixel on Accept Cookies,
szerencsejatek.hu,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
utwente.nl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
homecenter.com.co,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM (found a sub-page loading Pixel),random sub-page click
juegosonce.es,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
bolha.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
nhm.ac.uk,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
sorrisi.com,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
vu.nl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
slotor777.com.ua,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
da88.com,['PIXEL_GTM'],Loads only library,
theculturetrip.com,['PIXEL_CORE'],Loads Pixel on homepage,
elephantbet.co.mz,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
ntv.co.jp,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
xrea.com,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
born2be.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
renee.pl,['PIXEL_GTM'],Loads Pixel on Accept Cookies,
smakosze.pl,['PIXEL_GTM'],Does not load on visitation/ Has Pixel configured in GTM,
